Date,SALM,YAR,NAS,DNO
13.12.13,75.00,261.10,190.35652,22.4908
16.12.13,74.25,265.80,183.67909,22.89063
17.12.13,74.00,264.40,184.27707,22.46081
18.12.13,73.25,254.60,191.35315,22.50079
19.12.13,72.50,255.00,189.26023,22.68072
20.12.13,73.00,254.00,190.85484,23.2205
23.12.13,73.25,260.00,192.34978,24.47998
27.12.13,72.75,264.00,191.05416,24.21009
30.12.13,74.00,261.00,187.56595,24.1901
02.01.14,74.50,258.90,187.86494,24.86982
03.01.14,74.00,262.10,196.6353,24.9398
06.01.14,73.50,259.40,196.33631,24.53996
07.01.14,74.25,257.30,194.44271,24.45999
08.01.14,73.25,259.30,210.28914,24.36003
09.01.14,72.25,263.30,211.18611,24.87982
10.01.14,72.25,265.60,214.27567,24.73988
13.01.14,74.00,262.00,221.45141,24.6899
14.01.14,77.00,259.20,219.75714,24.6899
15.01.14,76.50,264.30,227.1322,24.41001
16.01.14,78.25,264.60,223.24534,22.79067
17.01.14,78.75,265.90,213.47836,22.44082
20.01.14,78.75,265.10,217.36522,22.22091
21.01.14,79.75,266.60,218.26219,22.16093
22.01.14,79.50,267.50,216.86691,22.59076
23.01.14,79.00,270.10,214.176,21.49121
24.01.14,78.00,264.90,211.68442,20.79149
27.01.14,78.00,263.10,214.67432,20.02181
28.01.14,77.50,262.90,214.37533,20.32169
29.01.14,77.50,257.20,207.89723,20.26171
30.01.14,78.00,258.20,209.09318,20.72152
31.01.14,76.75,259.00,203.21306,20.37166
03.02.14,77.50,258.70,203.81104,20.5416
04.02.14,77.50,257.30,199.42586,20.5216
05.02.14,77.00,255.50,197.93092,21.11136
06.02.14,75.50,261.50,220.25545,21.5012
07.02.14,77.50,262.10,223.24534,21.33127
10.02.14,76.25,264.10,228.2285,21.31128
11.02.14,73.50,268.10,229.52412,21.97101
12.02.14,73.00,250.00,238.19481,21.59117
13.02.14,71.75,244.60,252.14764,21.94102
14.02.14,72.50,246.20,248.7591,22.01099
17.02.14,72.00,239.20,251.84865,23.51038
18.02.14,72.50,241.30,259.12406,22.2309
19.02.14,72.25,241.50,251.15101,22.03099
20.02.14,72.75,246.60,250.25404,23.9602
21.02.14,73.75,247.10,252.64596,24.52996
24.02.14,73.00,248.10,251.35034,24.6899
25.02.14,72.25,243.60,257.62911,24.35004
26.02.14,74.00,243.80,258.12743,24.15012
27.02.14,76.50,242.60,257.42979,24.28007
28.02.14,77.75,243.40,257.1308,24.57994
03.03.14,76.25,251.10,253.94158,24.1901
04.03.14,77.00,250.80,263.30991,24.74987
05.03.14,76.75,251.00,264.70519,24.65991
